,ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
46374,46375,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;School or academic work;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository,13,12,"Developer, full-stack",500 to 999 employees,I have some influence,Start a free trial;Ask developers I know/work with,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Integrated developer community,Australia,AUD	Australian dollar,230000.0,HTML/CSS;JavaScript;Rust;TypeScript,Clojure;F#;Haskell;Rust,Rust,PostgreSQL,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),React,React,React,,,,.NET (5+) ,.NET (5+) ;Tauri;Xamarin,.NET (5+) ,Docker;npm;NuGet;Terraform;Webpack;Yarn,Docker;npm;NuGet;Terraform;Webpack,Docker;npm;NuGet;Terraform;Webpack,Android Studio;Emacs;Helix;IntelliJ IDEA;Rider,Android Studio;Emacs;Helix;IntelliJ IDEA;Rider,Android Studio;Emacs;Helix;IntelliJ IDEA;Rider,Windows,MacOS,Confluence;Jira;Notion,Notion,Notion,Google Chat,Slack,,ChatGPT,ChatGPT,ChatGPT,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions,Not sure,"No, but I plan to soon",Indifferent,,,,,,,,,,,,Yes,,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,,
46383,46384,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;School (i.e., University, College, etc)",,,16,10,"Developer, full-stack",10 to 19 employees,I have little or no influence,Start a free trial,Is set up to be customized and needs to be engineered into a usable product,Reputation for quality and excellence,Australia,AUD	Australian dollar,100000.0,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Microsoft Azure,Angular;AngularJS,Angular;AngularJS,Angular;AngularJS,,,,.NET (5+) ,.NET (5+) ,.NET (5+) ,,,,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Windows,Azure Devops;Confluence;Jira,Azure Devops;Confluence;Jira,Azure Devops;Confluence;Jira,Discord;Microsoft Teams;Whatsapp,Discord;Microsoft Teams;Whatsapp,Discord;Microsoft Teams;Whatsapp,,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,10.0,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Never,10+ times a week,Never,15-30 minutes a day,30-60 minutes a day,Amount of technical debt,DevOps function,Hybrid (on-prem and cloud),Other:,Software Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Appropriate in length,Easy,,10.0
46384,46385,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,25,15,"Developer, back-end","1,000 to 4,999 employees",I have a great deal of influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Out-of-the-box is ready to go with little need for customization,APIs;Integrated developer community;Reputation for quality and excellence;Connected to an open source project,Australia,AUD	Australian dollar,140000.0,Bash/Shell (all shells);C;C#;C++;Dart;Go;Java;JavaScript;Kotlin;Python;Rust;SQL,Dart;Go;Rust,Dart;Go;Rust,Cloud Firestore;Elasticsearch;Microsoft SQL Server;Oracle;PostgreSQL;SQLite,Cloud Firestore;PostgreSQL,Cloud Firestore;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Microsoft Azure;VMware,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud,,,,Arduino;CMake;GNU GCC;LLVM's Clang;Ninja;PlatformIO;Rasberry Pi;SCons,Arduino;GNU GCC;LLVM's Clang;PlatformIO;Rasberry Pi,Arduino;GNU GCC;LLVM's Clang;PlatformIO;Rasberry Pi,.NET (5+) ;.NET Framework (1.0 - 4.8);Flutter;RabbitMQ,Flutter;RabbitMQ,Flutter;RabbitMQ,Docker;Make,Docker,Docker,CLion;DataGrip;Goland;IntelliJ IDEA;Nano;Notepad++;Rider;Visual Studio Code,DataGrip;Goland;IntelliJ IDEA;Nano;Notepad++;Rider,DataGrip;Goland;IntelliJ IDEA;Nano;Notepad++;Rider,Android;Debian;Red Hat;Ubuntu;Windows;Windows Subsystem for Linux (WSL);Other (please specify):,Android;iOS;Red Hat;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Confluence;GitHub Discussions;Jira;Miro;Smartsheet,Confluence;GitHub Discussions;Jira;Miro,Confluence;GitHub Discussions;Jira;Miro,Discord;Microsoft Teams;Signal;Telegram;Zoom,Discord;Telegram,Discord;Telegram,ChatGPT,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
46392,46393,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Written Tutorials;Stack Overflow;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);First-party knowledge base;Traditional public search engine,6,3,"Developer, full-stack",20 to 99 employees,I have little or no influence,Ask developers I know/work with,Is set up to be customized and needs to be engineered into a usable product,APIs;Reputation for quality and excellence;Frequent updates to features,Australia,AUD	Australian dollar,84000.0,Bash/Shell (all shells);JavaScript,Scala,,MySQL;Oracle,,,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Google Cloud,Google Cloud,jQuery;React,AngularJS,,,,,,,,,,,Vim;Visual Studio Code,Visual Studio Code,Visual Studio Code,Windows,MacOS,Asana;Jira,Jira,Jira,Discord;Microsoft Teams;Slack;Whatsapp;Zoom,Discord;Slack;Whatsapp;Zoom,Discord;Slack;Whatsapp;Zoom,ChatGPT,,,Stack Overflow,A few times per week,Not sure/can't remember,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,Neutral,"No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,3.0,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,1-2 times a week,1-2 times a week,Never,60-120 minutes a day,Less than 15 minutes a day,None of these,DevOps function;Automated testing;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Do search of internal share drives/storage locations for documentation (i.e., not a structured knowledge base)",Higher Education,10.0,0.0,0.0,60.0,10.0,20.0,0.0,0.0,0.0,Appropriate in length,Neither easy nor difficult,,7.0
46395,46396,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Written Tutorials;Stack Overflow;How-to videos,Traditional public search engine,14,13,"Developer, front-end",500 to 999 employees,I have some influence,Start a free trial;Ask developers I know/work with,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Integrated developer community;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,Australia,AUD	Australian dollar,120000.0,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;PHP;SQL,C#;HTML/CSS;JavaScript;PHP;SQL,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,Amazon Web Services (AWS);Cloudflare;Heroku;Microsoft Azure,Cloudflare;Microsoft Azure,Cloudflare;Microsoft Azure,ASP.NET;ASP.NET CORE;Drupal;jQuery;Node.js;React,ASP.NET CORE;Drupal;jQuery,ASP.NET CORE;Drupal;jQuery,Arduino;Rasberry Pi,Arduino;Rasberry Pi,Arduino;Rasberry Pi,.NET (5+) ,.NET (5+) ,.NET (5+) ,npm;NuGet;Webpack;Yarn,npm;NuGet;Webpack;Yarn,npm;NuGet;Webpack;Yarn,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Windows,Windows,Azure Devops,Azure Devops,Azure Devops,Microsoft Teams,Microsoft Teams,Microsoft Teams,,,,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,"No, and I don't plan to",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Difficult,,
46431,46432,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Bootstrapping a business;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Blogs;Stack Overflow;How-to videos;Video-based Online Courses;AI,,40,33,"Developer, desktop or enterprise applications",10 to 19 employees,I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,Quality support system,Australia,AUD	Australian dollar,140000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),C#;HTML/CSS;PowerShell;SQL,C#;HTML/CSS;PowerShell;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;jQuery;WordPress,ASP.NET CORE;Blazor;WordPress,ASP.NET CORE;Blazor;WordPress,Rasberry Pi,,,.NET Framework (1.0 - 4.8),Xamarin,,Visual Studio Solution,Visual Studio Solution,Visual Studio Solution,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Asana;Confluence;Jira;Trello,Confluence;Jira;Trello,Confluence;Jira;Trello,Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom,Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom,Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom,ChatGPT,ChatGPT;GitHub Copilot;Visual Studio Intellicode,ChatGPT,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per month or weekly,Yes,Less than once per month or monthly,,Neutral,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,,Writing code;Debugging and getting help;Search for answers;Generating content or synthetic data,Learning about a codebase;Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics,Other (please specify):,Writing code;Generating content or synthetic data,,Debugging and getting help;Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,Don’t trust the output or answers;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks,Yes,Individual contributor,34.0,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,1-2 times a week,3-5 times a week,3-5 times a week,60-120 minutes a day,15-30 minutes a day,Amount of technical debt;Maintaining security of code being produced;Maintaining security of systems/platforms used in work,Knowledge sharing community,Hybrid (on-prem and cloud),Traditional public search engine,Fintech,75.0,0.0,15.0,60.0,80.0,70.0,10.0,30.0,5.0,Appropriate in length,Easy,,1.0
46434,46435,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,10,8,Engineering manager,100 to 499 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have advertised on sites I visit,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Quality support system;Reputation for quality and excellence,Australia,AUD	Australian dollar,185000.0,C#;HTML/CSS;JavaScript;TypeScript,C#;C++;TypeScript,C#;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Microsoft Azure,ASP.NET;React,ASP.NET;React,ASP.NET;React,,,,,,,npm;pnpm;Unity 3D;Unreal Engine,Unreal Engine,Unreal Engine,Rider;Visual Studio Code;WebStorm,Rider;Visual Studio Code;WebStorm,Rider;Visual Studio Code;WebStorm,MacOS;Windows,MacOS;Windows,Confluence;Markdown File,Confluence;Markdown File,Confluence;Markdown File,Discord;Slack;Zoom,Discord;Slack;Zoom,Discord;Slack;Zoom,ChatGPT,,,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,People manager,0.0,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,1-2 times a week,1-2 times a week,Never,Less than 15 minutes a day,Less than 15 minutes a day,Maintaining security of code being produced;Maintaining security of systems/platforms used in work,Automated testing;Observability tools;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Slack search,Software Development,40.0,0.0,0.0,20.0,10.0,0.0,0.0,20.0,10.0,Too long,Easy,,7.0
46446,46447,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;AI,API document(s) and/or SDK document(s);AI-powered search/dev tool (free);AI-powered search/dev tool (paid),20,16,"Developer, full-stack",20 to 99 employees,I have little or no influence,Start a free trial;Ask developers I know/work with,Is ready-to-go but also customizable for growth and targeted use cases,Reputation for quality and excellence,Australia,AUD	Australian dollar,206000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL;Redis;Supabase,Elasticsearch;PostgreSQL;Redis;SQLite;Supabase,PostgreSQL;Redis;Supabase,Amazon Web Services (AWS);Supabase,Amazon Web Services (AWS);Supabase,Amazon Web Services (AWS);Supabase,ASP.NET CORE;Next.js;React;Remix,ASP.NET CORE;React;Remix,ASP.NET CORE;React;Remix,Rasberry Pi,Rasberry Pi,Rasberry Pi,.NET (5+) ;Roslyn,.NET (5+) ;Flutter;Roslyn,.NET (5+) ;Roslyn,Docker;MSBuild;npm;NuGet;Vite,Docker;MSBuild;npm;NuGet;Vite,Docker;MSBuild;npm;NuGet;Vite,Notepad++;Rider;Visual Studio Code,Notepad++;Rider;Visual Studio Code,Notepad++;Rider;Visual Studio Code,Ubuntu;Windows,Ubuntu;Windows,Jira;Markdown File;Notion,Markdown File,Markdown File,Microsoft Teams;Slack;Zoom,Signal;Slack,Slack,Amazon Q;ChatGPT;Claude;Codeium;GitHub Copilot;Google Gemini;Phind,ChatGPT;Claude;GitHub Copilot;Google Gemini,ChatGPT;Claude;GitHub Copilot;Google Gemini,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,Yes,Favorable,Increase productivity;Greater efficiency,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Debugging and getting help;Search for answers;Generating content or synthetic data,Learning about a codebase;Documenting code;Testing code;Committing and reviewing code,Project planning;Deployment and monitoring;Predictive analytics,Writing code,,Debugging and getting help;Search for answers;Generating content or synthetic data,,,I'm not sure,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Yes,Individual contributor,17.0,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly agree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Complexity of tech stack for deployment;Complexity of tech stack for build,Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),AI-powered search (paid),Fintech,15.0,0.0,10.0,25.0,30.0,20.0,0.0,0.0,0.0,Appropriate in length,Easy,,8.0
46456,46457,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Apples,Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);How-to videos;Video-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base,30,25,"Developer, front-end",100 to 499 employees,I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,Customization;Integrated developer community;Frequent updates to features,Australia,AUD	Australian dollar,340000.0,HTML/CSS;JavaScript;SQL;TypeScript,Rust,,Microsoft SQL Server,PostgreSQL,,Amazon Web Services (AWS);Microsoft Azure;Netlify,,,Angular;Solid.js,Solid.js,Solid.js,,,,,,,pnpm;Vite,pnpm;Vite,pnpm;Vite,Visual Studio Code,,,MacOS,MacOS;Windows,,,,Discord;Microsoft Teams;Skype;Slack;Zoom,Discord;Microsoft Teams;Zoom,Discord;Microsoft Teams;Zoom,GitHub Copilot;Tabnine,GitHub Copilot,GitHub Copilot,Stack Overflow,Multiple times per day,No,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really",Yes,Indifferent,Increase productivity;Greater efficiency;Improve accuracy in coding,Neither trust nor distrust,Bad at handling complex tasks,Writing code,Learning about a codebase;Documenting code;Debugging and getting help;Testing code;Search for answers,Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,Writing code,,,,,I'm not sure,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",Yes,Individual contributor,30.0,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Agree,Never,Never,Never,Less than 15 minutes a day,15-30 minutes a day,Complexity of tech stack for deployment;Complexity of tech stack for build;Patching/updating core components,DevOps function;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,0.0,0.0,0.0,0.0,50.0,0.0,30.0,20.0,0.0,Too long,Easy,,7.0
46460,46461,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects,Some college/university study without earning a degree,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,25,20,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow,Out-of-the-box is ready to go with little need for customization,APIs;Quality support system;Reputation for quality and excellence,Australia,AUD	Australian dollar,200000.0,Haskell;HTML/CSS;JavaScript;Rust;TypeScript,Haskell;HTML/CSS;JavaScript;Rust;TypeScript,Haskell;HTML/CSS;JavaScript;Rust;TypeScript,MongoDB;PostgreSQL,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Netlify,Amazon Web Services (AWS);Google Cloud;Netlify,Amazon Web Services (AWS);Google Cloud;Netlify,Astro;Deno;Node.js;React,Astro;Deno;Node.js;React,Astro;Deno;Node.js;React,Cargo,Cargo,Cargo,React Native,React Native;Tauri,React Native,Docker;Homebrew;Make;npm,Docker;Homebrew;Make;npm,Docker;Homebrew;Make;npm,IntelliJ IDEA;Neovim;Visual Studio Code;Xcode,Neovim,Neovim,MacOS;Ubuntu,MacOS;Ubuntu,Jira;Obsidian;Trello,Obsidian,Obsidian,Google Meet;IRC;Slack;Zoom,Google Meet;IRC;Slack;Zoom,Google Meet;IRC;Slack;Zoom,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"No, not really",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Documenting code,Learning about a codebase;Project planning;Debugging and getting help;Testing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,Committing and reviewing code,,Documenting code,Writing code,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Lack of executive buy-in",Yes,Individual contributor,25.0,Agree,Strongly agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build;Patching/updating core components,DevOps function;Automated testing;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Fintech,10.0,10.0,0.0,40.0,10.0,20.0,0.0,0.0,10.0,Appropriate in length,Easy,,3.0
46465,46466,I code primarily as a hobby,18-24 years old,"Employed, part-time",In-person,Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,Primary/elementary school,"Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Social Media;How-to videos;Interactive tutorial,API document(s) and/or SDK document(s);First-party knowledge base;Traditional public search engine,9,,Other (please specify):,,,,,,Australia,,,HTML/CSS;Java;JavaScript;Julia;MicroPython;Python;Rust;TypeScript,Elixir;HTML/CSS;Julia;MicroPython;Rust;TypeScript;Zig,HTML/CSS;Julia;MicroPython;Rust;TypeScript,PostgreSQL,PostgreSQL,PostgreSQL,,,,Svelte,Phoenix;Solid.js;Svelte,Svelte,Rasberry Pi,Cargo;Rasberry Pi,Rasberry Pi,OpenGL,,,Bun;Gradle;npm;Pacman;Pip;Podman;Vite,Bun;Nix;Pacman;Podman;Vite,Bun;Pacman;Podman;Vite,CLion;IntelliJ IDEA;Neovim;Notepad++;Visual Studio Code,Helix;IntelliJ IDEA;Neovim,IntelliJ IDEA;Neovim,Arch;Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),,,,Discord;IRC;Microsoft Teams,Discord;IRC;Matrix;Signal,Discord;IRC,,,,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per month or weekly,Not sure/can't remember,,Quickly finding code solutions,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
